,Item Number,Brand,Processor,Screen Size,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Maximum Resolution,Model,OS,Hard Drive Capacity,Storage Type,Features,Condition,Seller Note,Price
3043,85264983872,Dell,Intel Core i5 vPro 8th Gen,14 in,Black,32 GB,1 tb,Intel,1.70 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,1 tb,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Force Touch Trackpad,  Multi-Touch Trackpad,  Touch ID,  Widescreen Display,  Wi-Fi",Used,"“Dell Latitude 7490 Laptop in excellent working and cosmetic used condition as seen from the ...  Read moreabout the seller notes“Dell Latitude 7490 Laptop in excellent working and cosmetic used condition as seen from the pictures. Item has minor scuffs, marks and scratches on the surface from previous use. No dead pixels or scratches on the monitor (LCD) display. Comes preloaded with a genuine copy of Microsoft Win 10 Pro 64-bit Operating System and ready to go! With 1TB SSD of storage and 32GB RAM, you definitely have sufficient work power! The Battery is in excellent condition and hold charge at around 99% and comes with the original dell 65 Watts power charger. Best bargain on eBay not to miss!” Read Lessabout the seller notes ",$245.00 
3047,85264983876,Dell,Intel Core i5 12th Gen.,15.6 in,Black,16 GB,512 gb,Intel,2.00 GHz,Notebook/Laptop,1920 x 1080,dell,windows 11 home,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard",Not Available,No note from seller,$479.00 
3052,85264983881,HP,Intel Core i7 6th Gen.,14 in,Silver,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,elitebook,windows 11 pro,256 gb,SSD,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",Used,No note from seller,$199.00 
3069,85264983898,HP,Intel Celeron N,14 in,White,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,not available,windows 11 home,64 gb,eMMC,Built-in Microphone,Not Available,No note from seller,$88.00 
3081,85264983910,HP,Intel Celeron N3350,11.6 in,Black,4 GB,16 gb,Intel,1.10 GHz,Chromebook,1366 x 768,chromebook,Chrome OS,16 gb,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,“Fully tested and working”,$49.99 
3082,85264983911,Lenovo,Intel Core i7 11th Gen.,14 in,Gray,16 GB,512 gb,Intel,3.00 GHz,Notebook/Laptop,1920 x 1200,lenovo,windows 10 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Stylus, Touchscreen, Wi-Fi",Used,No note from seller,$599.99 
3084,85264983913,Lenovo,Intel Core i5 4th Gen.,14 in,Black,8 GB,500 gb,Intel,2.60 GHz,Notebook/Laptop,1366 x 768,libreboot,Linux,500 gb,SSD,"Built-in Microphone,  Built-in Webcam,  Optical Drive,  Wi-Fi",Used,“Some scratches and corner is missing a small piece”,$180.00 
3089,85264983918,HP,Intel Core i5 7th Gen.,14 in,Silver,16 GB,512 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,512 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Wi-Fi",Used,"“This item is Refurbished! It has been inspected, cleaned, and repaired to meet manufacturer ...  Read moreabout the seller notes“This item is Refurbished! It has been inspected, cleaned, and repaired to meet manufacturer specifications. May have some wear such as scratches, dings, dents, but overall in good shape. Battery is fully tested and working and holds great charge. Power adapter is included. This units will be shipped in a New Brown Box.” Read Lessabout the seller notes ",$199.88 
3091,85264983920,MSI,Intel Core i5 11th Gen.,15.6 in,Black,16 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,1920 x 1080,msi,windows 11 home,512 gb,SSD,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$550.00 
3100,85264983929,Lenovo,Intel Core i7,14 In,Black,16 GB,256 gb,Intel,3.50 GHz,Notebook/Laptop,1920 x 1080,lenovo,Not Included,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam",Used,"“The item that has been used previously. The item may have some signs of cosmetic wear and tear, but ...  Read moreabout the seller notes“The item that has been used previously. The item may have some signs of cosmetic wear and tear, but is fully operational and functions as intended. There is no warranty on batteries, batteries are tested and working but no guarantee how long they hold charge. The item in the picture may not be the actual one that ships but is one of the items in stock. Accessories are shown in the listing. If you have any questions, please contact us.” Read Lessabout the seller notes ",$844.00 
3101,85264983930,Dell,Intel Core i7 8th Gen.,12.5 in,Black,8 GB,256 gb,Intel,1.9 GHz,Notebook/Laptop,1366 x 768,dell,windows 11 pro,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Used,“Laptop is in excellent condition.”,$170.00 
3119,85264983948,Acer,Intel Celeron N,11.6 in,Black,4 GB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,acer,Chrome OS,32 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi",Used,No note from seller,$55.00 
3123,85264983952,Dell,Intel Celeron N,11.6 in,Black,4 GB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,Chrome OS,32 gb,eMMC,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$74.99 
3129,85264983958,Lenovo,Intel Celeron N2940 1.83GHz Quad,11.6 in,Black,4 GB,16 gb,Intel,1.83 GHz,Notebook/Laptop,1366 x 768,thinkpad,Chrome OS,16 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Rugged, Wi-Fi",Used,“B+ Grade”,$49.99 
3137,85264983966,Lenovo,Intel Core i3,14.1 in,Black,12 GB,512 gb,Intel,3.60 GHz,Notebook/Laptop,1366 x 768,lenovo,windows 10,8 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Widescreen Display, Wi-Fi",Used,“Excellent Refubished Condition with minor signs of wear from normal use”,$180.00 
3139,85264983968,HP,Intel Core i5 10th Gen.,17 in,Silver,12 GB,931.51 gb,Intel,1.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 home,12 gb,HDD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi, 45% NTSC • Realtek RTL8821CE-M 802.11a/b/g/n/ac (1x1) Wi-Fi and B, 8 threads) • Chipset: Intel Integrated SoC • Memory: 12 GB DDR4-3",Used,No note from seller,$300.00 
3144,85264983973,Dell,Intel Core i3 10th Gen.,15.6 in,Black,16 GB,128 gb,Intel,1.20 GHz,Notebook/Laptop,1366 x 768,dell,windows 11 home,1 tb,HDD/SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",Very Good,“Includes Dell AC Adapter.”,$279.00 
3149,85264983978,Lenovo,Intel Celeron N,11.6 in,Black,4 GB,16 gb,Intel,1.6 GHz,Computers,1366 x 768,lenovo,Chrome OS,16 gb,SSD,"16GB eMMC flash storage, 3. 5mm Headphone/Mic jack
•	model: 80SF0001US
•	Google Chrome OS, Bluetooth 4. 1, Burst frequency: 2. 16GHz
•	4GB DDR3 RAM, Color: Black, Integrated HD audio
•	802. 11ac Wireless LAN, Intel HD Graphics, SD card reader
•	Ports: HDMI port, The N22 Series 11. 6"" 16GB SSD Chromebook from Lenovo is designed, Two (2) SuperSpeed USB 3. 0 ports, Webcam and microphone, Wi-Fi, and composing papers

•	11. 6"" LED HD 1366x768 Display, such as checking emails, the N22 Chromebook can handle multitasking and everyday computing, watching videos, •	Intel Celeron N3050 Dual-Core 1. 6GHz CPU",Used,No note from seller,$39.95 
3150,85264983979,Dell,Intel Celeron,11.6 in,Black,4 GB,128 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,windows 10,128 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,"“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will ...  Read moreabout the seller notes“Tested and guaranteed by certified dell laptop technicians. This laptop was used before and will show normal signs of use and handling with nothing major, The screen is NOT cracked and the computer is intact, the PC Laptop is fully tested and working normally. A brand new copy of Windows 10 Pro is installed and active. Ready for use out of the box with an Authentic charger” Read Lessabout the seller notes ",$154.99 
3153,85264983982,HP,Intel Core I5-8300H,17.3 in,Gray,8 GB,256 gb,Intel,2.30 GHz,Notebook/Laptop,1600 x 900,hp,windows 10 pro,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi,  Full Size Keyboard with Number Pad",New,No note from seller,$649.99 
3158,85264983987,HP,Intel Core i5 8th Gen.,14 in,Silver,32 GB,500 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,hp,windows 11 pro,500 gb,SSD,Wi-Fi,Used,No note from seller,$249.99 
3160,85264983989,Dell,Intel Core i7 6th Gen.,14 in,Black,8 GB/32 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,"10/100 LAN Card, 3D Camera, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",Used,No note from seller,$279.00 
3164,85264983993,Lenovo,Intel Celeron,11.6 in,Black,4 GB,32 gb,Intel,2.60 GHz,Notebook/Laptop,1366 x 768,lenovo,Chrome OS,32 gb,SSD,"LED Display,  Stereo speakers,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",Used,"“Fully Tested & Functional , includes the charger. The screen may have some minor scuff or hairline ...  Read moreabout the seller notes“Fully Tested & Functional , includes the charger. The screen may have some minor scuff or hairline scratches but is working . Item is functional, and fully working and has been fully tested, power-washed and restored to factory settings. The items has been fully cleaned and is in ok physical condition. The charger is tested and included” Read Lessabout the seller notes ",$51.00 
3166,85264983995,Dell,Intel Core i5 11th Gen.,13.3 in,Black,16 GB,256 gb,Intel,2.60 GHz,Notebook,1920 x 1080,latitude,windows 11 pro,256 gb,SSD,Rugged,Excellent,"“The laptop is manufacturer refurbished ""Like New"" directly from Dell with a fully transferable ...  Read moreabout the seller notes“The laptop is manufacturer refurbished ""Like New"" directly from Dell with a fully transferable warranty. This item was a cancelled order before shipping.” Read Lessabout the seller notes ","$1,449.99 "
3170,85264983999,HP,Intel Core i3-1215U,15.6 in,Silver,8 GB,256 gb,Intel,1.20 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 home,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi,  16 GB Flash Drive",New,No note from seller,$329.95 
3177,85264984006,Dell,Intel Core i3 6th Gen.,13.3 in,Black,8 GB,128 gb,Intel,2.20 GHz,Laptop/Tablet,1920 x 1080,latitude,windows 11 pro,128 gb,SSD,"Backlit Keyboard, Bluetooth, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen",Used,No note from seller,$141.00 
3178,85264984007,Dell,Intel Core i7 10th Gen.,15.6 in,Silver,32 GB,512 gb,NVIDIA,2.70 GHz,Notebook/Laptop,3840 x 2400,dell,windows 10 pro,512 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",New,No note from seller,$959.99 
3181,85264984010,Dell,Intel Celeron N,11.6 in,Black,4 GB,32 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,dell,Chrome OS,32 gb,eMMC,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$74.99 
3190,85264984019,Lenovo,intel core i5 8th gen,15.6 in,Black,32 GB,512 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080p,lenovo,windows 11 pro,512 gb,SSD,"Bluetooth 4.1 Wireless, Thunderbolt 3port, 4-in-1 card reader (SD, MMC, SDHC, SDXC), Dolby Audio Premium, LED Backlit-Keyboard, 720p HD Camera with microphone",Very Good,“fully tested one year warranty great condition”,$369.99 
3200,85264984029,HP,Intel Celeron,14 in,Blue,4 GB,64 gb,Intel,1.10 GHz,Notebook/Laptop,1366 x 768,hp,Chrome OS,64 gb,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Convertible 2-in-1 Laptop/Tablet, Built-in Microphone",Not Available,No note from seller,$180.00 
3205,85264984034,HP,Intel Core i7 6th Gen.,14 in,Silver,8 GB,256 gb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,elitebook,windows 11 pro,256 gb,SSD,"3D Camera,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi",Used,No note from seller,$199.00 
3214,85264984043,Microsoft,Intel Core i5 10th Gen.,13.5 in,Silver,8 GB,256 gb,Intel,1.50 GHz,Notebook/Laptop,2256 x 1504,microsoft,windows 10 pro,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen",Used,“Extremely Clean. No Scratches. See Photos & Description”,$259.84 
3218,85264984047,ASUS,Intel Core i3 11th Gen.,15.6 in,Gray,8 GB,256 gb,Intel,1.80 GHz,Notebook/Laptop,1920 x 1080,asus,windows 11 home,256 gb,SSD,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",Not Available,No note from seller,$292.95 
3219,85264984048,Dell,Intel Core i7 7th Gen.,"15.6""",Black,32 GB,512 gb,Intel,2.90 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 pro,512 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,No note from seller,$289.99 
3223,85264984052,HP,Intel core i7 4th gen,16 in,Black,8 GB,256 gb,Intel,2.70 GHz,Notebook/Laptop,1920 x 1080,hp,windows 10 pro,256 gb,SSD,Wi-Fi,Used,“Excellent working condition.”,$249.99 
3231,85264984060,HP,Intel Pentium Gold,15.6 in,Red,4 GB,128 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,hp,windows 10,128 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Multi-Touch Trackpad, Built-in Microphone",Not Available,No note from seller,$170.00 
3235,85264984064,Dell,Intel Core i5 6th Gen.,14 in,Black,16 GB,512 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,dell,windows 10 pro,512 gb,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Not Available,No note from seller,$100.00 
3237,85264984066,Lenovo,Intel Celeron,11.6 in,Black,4 GB,32 gb,Intel,2.60 GHz,Notebook/Laptop,1366 x 768,lenovo,Chrome OS,32 gb,SSD,"LED Display, Stereo speakers, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi",Used,"“Fully Tested and Fully Working , FULLY FUNCTIONING includes charger. Will ship in bulk packaging. ...  Read moreabout the seller notes“Fully Tested and Fully Working , FULLY FUNCTIONING includes charger. Will ship in bulk packaging. Will show signs of normal” Read Lessabout the seller notes ",$55.00 
3243,85264984072,Lenovo,Intel Core i5,15.6 In,Black,8 GB,256 gb,Intel,1.60 GHz,Notebook/Laptop,1920 x 1080,thinkpad,Not Included,256 gb,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Widescreen Display,  LED backlight,  TrackPoint,  multi-touch touchpad,  Spill-resistant",Used,"“The item that has been used previously. The item may have some signs of cosmetic wear and tear, but ...  Read moreabout the seller notes“The item that has been used previously. The item may have some signs of cosmetic wear and tear, but is fully operational and functions as intended. There is no warranty on batteries, batteries are tested and working but no guarantee how long they hold charge. The item in the picture may not be the actual one that ships but is one of the items in stock. Accessories are shown in the listing. If you have any questions, please contact us.” Read Lessabout the seller notes ",$204.00 
3245,85264984074,CHUWI,Dual Core,12 in,Gray,8 GB,256 gb,Intel,3.4GHz,Laptop/Tablet,1920 x 1080,ubook,windows 10 home,256 gb,256 G,"Built-In Front Camera,  Built-In Rear Camera",New,No note from seller,$199.99 
3252,85264984081,Dell,Intel Core i7 6th Gen.,14 in,Black,16 GB,256 gb,Intel,3.40 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 pro,256 gb,SSD,Built-in Microphone,Not Available,No note from seller,$159.00 
3256,85264984085,HP,Intel Core i5-6300U,14 in,Silver,16 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1366 x 768,hp,windows 10 pro,256 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Wi-Fi,  Wi-Fi Ready,  Gigabit Ethernet Port,  New Windows 10 Full Version Preinstalled,  Windows Recovery Solution For Re-installations,  Microsoft Windows Antivirus,  Free Open Office (Writer - Calc -Draw -Spreadsheet)",Very Good,"“Ultralight, and weighs less than 3.3 lbs, A warranty, money-back guarantee, and free tech support ...  Read moreabout the seller notes“Ultralight, and weighs less than 3.3 lbs, A warranty, money-back guarantee, and free tech support are included, This computer has gone through a rigorous refurbishing process as well as Quality Control Testing. We have also installed a fresh & legal version of the Windows operating system with our software package that includes PDF Reader/Editor, and Open Office for (spreadsheet, word, presentation, drawing, formula). We are MICROSOFT REGISTERED REFURBISHER, We offer high-quality refurbished PCs/Laptops, feel confident buying from us. Skip the rest and buy from the best. The outside casing of the Desktop may have minor scratches or imperfections.” Read Lessabout the seller notes ",$179.99 
3260,85264984089,Lenovo,Intel Core i5 8th Gen.,14 in,Black,16 GB,256 gb,Intel,1.6 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,256 gb,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",Used,"“Light scratches and scuffs on the exterior of the unit, Light keyboard marks on the screen that are ...  Read moreabout the seller notes“Light scratches and scuffs on the exterior of the unit, Light keyboard marks on the screen that are not visible during use, keyboard is in good condition.” Read Lessabout the seller notes ",$199.00 
3268,85264984097,Lenovo,Intel Core i5 8th Gen.,14 in,Black,16 GB,500 gb,Intel,1.70 GHz,Notebook/Laptop,1920 x 1080,lenovo,windows 11 pro,500 gb,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Touch ID,  Wi-Fi",Excellent,“Fully tested in great condition one year warranty”,$279.99 
3269,85264984098,Dell,i5-7300HQ,15.6 in,Black,8 GB,256 gb,NVIDIA,2.5 GHz,Notebook/Laptop,1920 x 1080,dell,windows 10 home,Not available,SSD,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"“Tested/Working. Windows 10, Power Adapter Included. The laptop has frame damage on the backside.”",$199.99 
3271,85264984100,CHUWI,Intel Celeron N,14.1 in,Gray,8 GB,1 tb,Intel,2.60 GHz,Notebook/Laptop,1920 x 1080,herobook,windows 11 home,256 gb,SSD,"Built-in Microphone,  Built-in Webcam",New,No note from seller,$187.93 
3273,85264984102,Dell,Intel Celeron,11.6 in,Multicolor,4 GB,32 gb,Intel,2.48 GHz,Laptop/Tablet,1366 x 768,dell,Chrome OS,32 gb,eMMC,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi, Tablet PC",Good,“1-Year Allstate warranty. The original Dell charger is included.”,$94.99 
3275,85264984104,HP,Intel Core i5 11th Gen.,15.6 in,Silver,8 GB,256 gb,Intel,2.40 GHz,Notebook/Laptop,1920 x 1080,not available,windows 11 home,256 gb,SSD,"Bluetooth, Built-in Webcam, Built-in Microphone",New,No note from seller,$369.95 
3276,85264984105,Dell,Intel i5,14.1 in,Black,4 GB,0,Intel,2.50 GHz,Notebook/Laptop,1024 x 768,latitude,windows xp,160 gb,HDD,"10/100 LAN Card,  Multi-Touch Trackpad,  Optical Drive,  Rugged,  Wi-Fi",Used,"“Refurbished and Ready To Use  - Fresh Install Vintage Windows XP Pro SP3 32 Bit - Intended For ...  Read moreabout the seller notes“Refurbished and Ready To Use  - Fresh Install Vintage Windows XP Pro SP3 32 Bit - Intended For Running Older Software - 14.1"" HD Screen - Intel i5 2.5 ghz. Processor - Intel HD Graphics - 4 gb ram -   160 gb Hard Drive - CD/DVD - Ethernet Port - WIFI - Battery Included, Takes Charge -  No Guarantee On Used Batteries - Charger Included - Multiple Units Available - Units Will Show Moderate Cosmetic Signs Of Previous Use Such As Scuff Scratch Ding Or Dent On Outer Casing / Top Cover” Read Lessabout the seller notes ",$79.99 
